state_name,Hour_Of_Day,Day_Of_Week,Month,Trafficway_Type,Intersection,Light_Condition,Atmospheric_conditions,num_fatalities
Alabama,10AM,Saturday,March,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,4PM,Thursday,March,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,2PM,Thursday,July,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Thursday,June,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,12PM,Monday,July,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Thursday,August,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,6PM,Saturday,July,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,9AM,Friday,January,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Tuesday,October,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Friday,August,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,7AM,Tuesday,September,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,12PM,Thursday,March,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,3PM,Sunday,August,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,8PM,Tuesday,January,Interstate,Not an Intersection,Dark – Lighted,Rain,1
Alabama,2PM,Monday,December,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,7AM,Sunday,July,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,9AM,Sunday,December,Interstate,Not an Intersection,Daylight,Rain,1
Alabama,2AM,Thursday,August,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11AM,Thursday,October,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Saturday,November,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,4AM,Sunday,January,Interstate,Not an Intersection,Dark – Lighted,Cloudy,1
Alabama,6AM,Thursday,March,Interstate,Not an Intersection,Daylight,Cloudy,1
Alabama,4AM,Saturday,December,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,10AM,Friday,November,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3AM,Tuesday,January,Interstate,Not an Intersection,Dark – Not Lighted,Rain,1
Alabama,11PM,Tuesday,September,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6AM,Thursday,October,Interstate,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9PM,Tuesday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Thursday,June,Principal Arterial – Other,Not an Intersection,Dawn,Clear,1
Alabama,6AM,Sunday,December,Principal Arterial – Other,Not an Intersection,Dawn,Clear,1
Alabama,5AM,Saturday,December,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,4PM,Tuesday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Sunday,September,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,1PM,Monday,January,Major Collector,Not an Intersection,Daylight,Cloudy,1
Alabama,5AM,Friday,April,Minor Arterial,Not an Intersection,Dawn,Clear,1
Alabama,11PM,Sunday,April,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9PM,Sunday,October,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,6AM,Thursday,November,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2AM,Sunday,August,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,5AM,Tuesday,March,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,6AM,Wednesday,March,Principal Arterial – Other,Not an Intersection,Dawn,Clear,1
Alabama,1AM,Tuesday,November,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,7AM,Friday,November,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Thursday,June,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,10PM,Thursday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,9PM,Friday,June,Principal Arterial – Other,T-Intersection,Dark – Not Lighted,Rain,1
Alabama,2PM,Wednesday,August,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,4PM,Sunday,December,Minor Arterial,Four-Way Intersection,Dark – Lighted,Rain,1
Alabama,6PM,Saturday,December,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,1PM,Monday,August,Principal Arterial – Other,Not an Intersection,Daylight,Cloudy,1
Alabama,8PM,Friday,May,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,6AM,Saturday,September,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,8PM,Tuesday,April,Interstate,Not an Intersection,Dusk,Clear,1
Alabama,9PM,Saturday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,8AM,Monday,May,Minor Arterial,Not an Intersection,Daylight,Clear,2
Alabama,11AM,Saturday,December,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,9PM,Monday,June,Minor Arterial,Not an Intersection,Dark – Lighted,Clear,1
Alabama,2AM,Sunday,May,Principal Arterial – Other,Four-Way Intersection,Dark – Lighted,Clear,1
Alabama,12AM,Thursday,February,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,9PM,Saturday,May,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,9PM,Tuesday,August,Major Collector,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,10PM,Saturday,March,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,8PM,Monday,September,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,6PM,Saturday,January,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,8PM,Thursday,June,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,5AM,Saturday,December,Principal Arterial – Other,T-Intersection,Dark – Not Lighted,Clear,1
Alabama,2AM,Saturday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,1AM,Thursday,February,Minor Arterial,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,10PM,Thursday,June,Principal Arterial – Other,Four-Way Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Wednesday,June,Principal Arterial – Other,Not an Intersection,Daylight,Clear,2
Alabama,10AM,Tuesday,February,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Tuesday,August,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,5AM,Wednesday,September,Principal Arterial – Other,Not an Intersection,Dawn,Clear,1
Alabama,7PM,Friday,October,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,2
Alabama,5AM,Friday,December,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,2
Alabama,11PM,Friday,June,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2PM,Sunday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Sunday,April,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,11AM,Tuesday,February,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,12PM,Tuesday,January,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,12PM,Wednesday,June,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Tuesday,June,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2AM,Friday,December,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5AM,Sunday,November,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,6PM,Saturday,March,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2AM,Sunday,September,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3PM,Friday,September,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,6PM,Monday,October,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,4PM,Saturday,February,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,9PM,Friday,January,Principal Arterial – Other,Four-Way Intersection,Dark – Not Lighted,"Fog, Smog, Smoke",1
Alabama,6PM,Thursday,July,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,7PM,Tuesday,October,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,5PM,Friday,June,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,3PM,Saturday,October,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,9AM,Friday,June,Major Collector,Not an Intersection,Daylight,Clear,1
Alabama,5PM,Wednesday,September,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,2PM,Tuesday,October,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,8AM,Monday,October,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,5PM,Wednesday,August,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,7AM,Friday,June,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,1PM,Tuesday,April,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,8AM,Monday,July,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,5AM,Wednesday,December,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,8AM,Monday,March,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,8PM,Monday,May,Principal Arterial – Other,T-Intersection,Dark – Lighted,Clear,1
Alabama,11AM,Saturday,May,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,2PM,Tuesday,November,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,7AM,Thursday,September,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,5AM,Monday,August,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,8PM,Thursday,April,Principal Arterial – Other,Four-Way Intersection,Dark – Lighted,Clear,1
Alabama,6PM,Tuesday,October,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,7AM,Tuesday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Wednesday,March,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Saturday,August,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,4PM,Monday,September,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,9PM,Saturday,May,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,3AM,Saturday,July,Principal Arterial – Other,T-Intersection,Dark – Lighted,Clear,1
Alabama,2AM,Monday,June,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,5PM,Monday,November,Principal Arterial – Other,T-Intersection,Dark – Not Lighted,Cloudy,1
Alabama,5PM,Wednesday,August,Principal Arterial – Other,Not an Intersection,Daylight,Cloudy,1
Alabama,11AM,Thursday,April,Principal Arterial – Other,Not an Intersection,Daylight,Cloudy,1
Alabama,2PM,Friday,April,Principal Arterial – Other,Four-Way Intersection,Daylight,Cloudy,1
Alabama,11AM,Tuesday,February,Principal Arterial – Other,Four-Way Intersection,Daylight,Cloudy,1
Alabama,4AM,Tuesday,February,Principal Arterial – Other,T-Intersection,Dark – Not Lighted,Cloudy,1
Alabama,6PM,Sunday,February,Principal Arterial – Other,Four-Way Intersection,Daylight,Cloudy,1
Alabama,12PM,Thursday,May,Principal Arterial – Other,Four-Way Intersection,Daylight,Cloudy,1
Alabama,5AM,Tuesday,May,Principal Arterial – Other,Not an Intersection,Dawn,Cloudy,1
Alabama,1PM,Friday,June,Minor Arterial,Not an Intersection,Daylight,Clear,2
Alabama,12PM,Friday,July,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Wednesday,May,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Monday,September,Principal Arterial – Other,Four-Way Intersection,Daylight,Cloudy,1
Alabama,7AM,Friday,April,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,7AM,Wednesday,February,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,3PM,Friday,April,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,6PM,Wednesday,February,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Cloudy,1
Alabama,1PM,Tuesday,December,Major Collector,T-Intersection,Daylight,Cloudy,1
Alabama,7PM,Friday,December,Principal Arterial – Other,Four-Way Intersection,Dark – Lighted,Cloudy,1
Alabama,1PM,Tuesday,August,Principal Arterial – Other,T-Intersection,Daylight,Cloudy,1
Alabama,4PM,Saturday,May,Major Collector,T-Intersection,Daylight,Clear,1
Alabama,2PM,Saturday,January,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,10AM,Sunday,June,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,6PM,Sunday,January,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9AM,Monday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,3PM,Friday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,5PM,Friday,November,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,11AM,Sunday,July,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,7PM,Sunday,December,Principal Arterial – Other,Four-Way Intersection,Dark – Not Lighted,Clear,1
Alabama,6PM,Friday,December,Principal Arterial – Other,Four-Way Intersection,Dark – Not Lighted,Clear,1
Alabama,4PM,Saturday,August,Minor Arterial,T-Intersection,Daylight,Clear,1
Alabama,12AM,Sunday,March,Minor Arterial,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,7PM,Friday,December,Minor Arterial,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,7PM,Friday,May,Minor Arterial,T-Intersection,Daylight,Clear,1
Alabama,3PM,Wednesday,April,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Thursday,March,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,8PM,Tuesday,March,Principal Arterial – Other,Four-Way Intersection,Dark – Lighted,Clear,1
Alabama,7AM,Thursday,November,Principal Arterial – Other Freeways and Expressways,Not an Intersection,Daylight,Clear,1
Alabama,12PM,Monday,July,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Thursday,December,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,7AM,Monday,January,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,9AM,Thursday,November,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,12AM,Monday,February,Principal Arterial – Other,T-Intersection,Dark – Lighted,Clear,1
Alabama,7PM,Sunday,February,Principal Arterial – Other,Four-Way Intersection,Dark – Lighted,Clear,1
Alabama,10PM,Tuesday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,8PM,Wednesday,February,Minor Arterial,Not an Intersection,Dark – Lighted,Rain,1
Alabama,4AM,Saturday,December,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,4AM,Tuesday,October,Principal Arterial – Other,Not an Intersection,Dark – Lighted,Clear,1
Alabama,2AM,Monday,October,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,12AM,Tuesday,March,Minor Arterial,Not an Intersection,Unknown,Unknown,1
Alabama,4PM,Thursday,September,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,1PM,Tuesday,June,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,3AM,Monday,October,Minor Arterial,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,7AM,Thursday,September,Major Collector,Not an Intersection,Daylight,Clear,1
Alabama,7AM,Sunday,August,Principal Arterial – Other,Four-Way Intersection,Daylight,Clear,1
Alabama,5PM,Friday,May,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,4AM,Wednesday,February,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,7PM,Sunday,September,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,1AM,Wednesday,October,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,8AM,Sunday,October,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,4PM,Wednesday,January,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,2PM,Friday,December,Principal Arterial – Other,T-Intersection,Daylight,Clear,1
Alabama,8PM,Sunday,April,Principal Arterial – Other,Not an Intersection,Dusk,Clear,1
Alabama,6AM,Monday,June,Principal Arterial – Other,Not an Intersection,Dawn,Clear,1
Alabama,11AM,Tuesday,October,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,1AM,Sunday,November,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,9PM,Friday,April,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
Alabama,2PM,Friday,January,Principal Arterial – Other,Not an Intersection,Daylight,Clear,1
Alabama,1AM,Monday,January,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Cloudy,1
Alabama,10PM,Saturday,April,Minor Arterial,Not an Intersection,Dark – Not Lighted,Clear,2
Alabama,10PM,Monday,July,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Cloudy,2
Alabama,3PM,Wednesday,April,Principal Arterial – Other,Not an Intersection,Daylight,Rain,1
Alabama,11AM,Wednesday,November,Minor Arterial,Not an Intersection,Daylight,Rain,1
Alabama,4PM,Thursday,December,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,10AM,Tuesday,October,Major Collector,Not an Intersection,Daylight,Clear,1
Alabama,10AM,Friday,August,Minor Arterial,Not an Intersection,Daylight,Clear,1
Alabama,11AM,Sunday,September,Interstate,Not an Intersection,Daylight,Clear,1
Alabama,3AM,Thursday,September,Principal Arterial – Other,Not an Intersection,Dark – Not Lighted,Clear,1
